location,BHK,total_sqft,bath,price
Alandi Road,2,1056,2,39.07
Anandnagar,3,1440,2,62
Aundh,3,1521,3,95
Aundh Road,2,1200,2,51
Balaji Nagar,2,1170,2,38
Bhandarkar Road,3,1310,3,63.25
Bibvewadi,3,1800,2,70
Budhwar Peth,2,1000,2,38
Bund Garden Road,2,1100,2,40
Camp,3,2250,3,148
Chandan Nagar,2,1175,2,73.5
Dapodi,3,1180,3,48
Deccan Gymkhana,3,1540,3,60
Dhankawadi,2,1100,2,48
Dhayari Phata,1,600,1,15
Dhole Patil Road,3,1755,3,122
Fatima Nagar,3,1767,3,103
Fergusson College Road,1,510,1,25.25
Ganesh Peth,3,1250,3,56
Ganeshkhind,2,660,1,23.1
Ghorpade Peth,3,1610,3,81
other,2,1151,2,48.77
Gokhale Nagar,3,1025,2,47
Gultekdi,4,2475,4,186
Guruwar peth,3,1075,2,35
Hadapsar,3,1760,2,123
Hadapsar Industrial Estate,3,1693,3,57.39
Hingne Khurd,3,1925,3,125
Jangali Maharaj Road,2,700,2,36
Kalyani Nagar,2,1070,2,45.5
Karve Nagar,3,1724,3,125
Karve Road,3,1290,2,56.12
Kasba Peth,2,1143,2,45
Katraj,2,1296,2,81
Khadaki,3,1254,3,38
Khadki,1,600,1,38
Kharadi,1,660,1,48
Kondhwa,2,1330.74,2,91.79
Kondhwa Khurd,2,970,2,33
Koregaon Park,2,1459,2,94.82
Law College Road,2,869,2,36
Laxmi Road,2,1270,2,50
Lulla Nagar,3,1670,3,99
Mahatma Gandhi Road,3,2010,3,91
Mangalwar peth,2,1185,2,75
Manik Bagh,3,1600,2,75
Market yard,2,1200,2,44
Mundhawa,6,1407,4,150
Nagar Road,2,840,2,45
Narayan Peth,2,845,2,55
Navi Peth,2,1160,2,44
Parvati Darshan,2,1100,2,62
Pashan,2,1140,2,43
Paud Road,2,1220,2,57
Pirangut,8,1350,7,85
Prabhat Road,2,1005,2,36.68
Rasta Peth,2,1358,2,80.58
Raviwar Peth,3,1569,3,101
Sadashiv Peth,2,1240,2,70
Sahakar Nagar,3,2089,3,140
Salunke Vihar,2,1206,2,48.23
Sasson Road,2,1150,2,40
Satara Road,3,2511,3,205
Senapati Bapat Road,2,460,1,22
Shivaji Nagar,3,1660,2,105
Sinhagad Road,2,1326,2,78
Somwar Peth,3,1325,2,60.8
Swargate,3,1499,5,102
Uruli Devachi,3,1665,3,88
Vadgaon Budruk,2,708,2,37
